Source;Target;Type;id;weight
16;11;Undirected;213;0.305
41;8;Undirected;214;0.205
6;47;Undirected;215;0.22
24;6;Undirected;216;0.48
10;40;Undirected;217;0.655
6;46;Undirected;218;0.23
10;20;Undirected;219;0.225
10;9;Undirected;220;0.25
25;7;Undirected;221;0.25
10;36;Undirected;222;0.295
24;8;Undirected;223;0.205
43;21;Undirected;224;0.225
7;27;Undirected;225;0.255
16;50;Undirected;226;0.205
25;13;Undirected;227;0.25
10;27;Undirected;228;0.255
2;6;Undirected;229;0.54
10;30;Undirected;230;0.515
6;45;Undirected;231;0.655
10;57;Undirected;232;0.235
25;17;Undirected;233;0.25
16;14;Undirected;234;0.265
17;41;Undirected;235;0.205
6;27;Undirected;236;0.255
6;58;Undirected;237;0.21
52;24;Undirected;238;0.235
